dataset_idx,question_id,n_hops,branch_a_hop,branch_b_hop,merge_hop,branch_a_closure,branch_b_closure,branch_a_question,branch_a_answer,branch_a_label,branch_a_independent_confidence,branch_b_question,branch_b_answer,branch_b_label,branch_b_independent_confidence,merge_question,merge_answer,merge_label,merge_independent_confidence,joint_A,joint_B,joint_M,joint_raw,tot_A,tot_B,tot_M,tot_raw
2045,4hop2__71753_158985_70784_61381,4,1,2,3,1,2,what region of the world is israel located,Middle East.,correct,40.0,Where is the most growth taking place in desalination for agricultural use?,Singapore,incorrect,40.0,what region lies immediately to the north of Middle East. and Singapore,Central Bohemian Region,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.1,1.0,0.5,"A=0.1; B=1.0; M=0.5

Explanation:
"
2407,3hop2__79512_16214_84681,3,2,1,3,2,1,Who first imported slaves to New York?,Dutch,correct,40.0,where do they film lord of the rings,New Zealand,correct,45.0,when did the Dutch come to New Zealand,13 December 1642,correct,50.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,0.8,0.9,"A=0.9; B=0.8; M=0.9

**Explanation"
1861,4hop2__567956_14670_8987_8529,4,2,1,3,2,1,The Air Defense Artillery is a branch of what?,The Air Defense Artillery is a branch of the Army.,correct,70.0,Normalization >> country,Slovakia,incorrect,40.0,What The Air Defense Artillery is a branch of the Army. was unprepared for the invasion of Slovakia ?,The Air Defense Artillery is a branch of the Army.,incorrect,50.0,100.0,100.0,100.0,A=100; B=100; M=100,1.0,1.0,1.0,A=1.0; B=1.0; M=1.0
2015,4hop3__405277_88460_30152_20999,4,3,2,4,3,"1,2",New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottoman,incorrect,40.0,what natural boundary lies between thailand and Laos,Radcliffe Line,incorrect,40.0,How were the Ottoman expelled from Radcliffe Line ?,The Ottoman Empire was expelled from the Radcliffe Line through economic independence and new coin,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,1.0,0.8,"A=0.9; B=1.0; M=0.8

Explanation:
"
1268,3hop2__304722_602987_63959,3,2,1,3,2,1,Joe Gallagher >> member of sports team,Manchester City F.C.,needs_review,40.0,1894–95 FA Cup >> winner,Birmingham City,incorrect,40.0,when was the last time Manchester City F.C. beat Birmingham City,2015,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,0.9,1.0,A=0.9; B=0.9; M=1.0
2003,4hop3__310746_88460_30152_20999,4,3,2,4,3,"1,2",New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottoman,incorrect,40.0,what natural boundary lies between thailand and Laos,Si Phan Don (4000 Islands),incorrect,50.0,How were the Ottoman expelled from Si Phan Don (4000 Islands) ?,The Ottoman Empire was expelled from Si Phan Don (4000 Islands,incorrect,0.0,100.0,100.0,100.0,A=100; B=100; M=100,0.1,1.0,0.5,"A=0.1; B=1.0; M=0.5

Explanation:
"
1407,3hop2__92991_38242_76291,3,2,1,3,2,1,"Prior to the 1954 elections, who had majorities in Congress?",Democrats,incorrect,40.0,who determines the rules of the us house and us senate,The Speaker of the House and the Majority and Minority Leaders determine the rules of the,incorrect,40.0,when did Democrats take control of the The Speaker of the House and the Majority and Minority Leaders determine the rules of the,2014,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,1.0,1.0,A=0.9; B=1.0; M=1.0
1638,3hop2__326964_36852_7713,3,2,1,3,2,1,What city did the Qing lose in 1853?,Nanjing,correct,60.0,Yaxing Coach >> headquarters location,"Yangzhou, Jiangsu, China",correct,45.0,"How long had Nanjing been the capital city of Yangzhou, Jiangsu, China ?",400 years.,correct,40.0,100.0,100.0,100.0,A=100; B=100; M=100,1.0,1.0,1.0,A=1.0; B=1.0; M=1.0
2322,3hop2__30956_65244_84681,3,2,1,3,2,1,who controlled new york before it became an english colony,Dutch.,correct,45.0,Where was Kerry's yacht built?,New Zealand,correct,40.0,when did the Dutch. come to New Zealand,1642,needs_review,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,0.8,0.8,"A=0.9; B=0.8; M=0.8

Explanation:
"
1460,3hop2__132957_52222_40768,3,1,2,3,1,2,Who made Acura Legend?,Honda,correct,50.0,what is the biggest automobile company in the world,Toyota,correct,50.0,"When did Honda , Toyota and Nissan open US assembly plants?",1981,correct,40.0,100.0,100.0,100.0,A=100; B=100; M=100,,,,A=<0.8; B=<0.9; M=<0.9>
