dataset_idx,question_id,n_hops,branch_a_hop,branch_b_hop,merge_hop,branch_a_closure,branch_b_closure,branch_role,hop,question,answer,gold,label,mean_logprob,min_logprob,entropy,margin,independent_verbal_confidence,joint_verbal_confidence,joint_minus_independent,tot_style_evaluation,tot_style_evaluation_100
1429,3hop2__782397_223623_162182,3,1,2,3,1,2,A,1,Phu Luong >> country,Vietnam,Vietnam,correct,-5.960462488019402e-07,-8.344646857949556e-07,1.0198336894973181e-05,14.4140625,50.0,100.0,50.0,,
1429,3hop2__782397_223623_162182,3,1,2,3,1,2,B,2,John Phan >> place of birth,"Da Nang, Vietnam",Da Nang,correct,-0.01554592996637325,-0.0777241662144661,0.05320910905771257,12.53125,50.0,100.0,50.0,,
2159,4hop3__193820_466199_128875_72134,4,3,2,4,3,"1,2",A,3,What town is WLUJ liscensed in?,"Springfield, Illinois",Springfield,correct,-0.007216687313530201,-0.028863530606031418,0.03237583256934273,13.19921875,70.0,100.0,30.0,,
2159,4hop3__193820_466199_128875_72134,4,3,2,4,3,"1,2",B,2,"Richard Brantley York was born in Randolph County, North Carolina. >> located in the administrative territorial entity","Randolph County, North Carolina",Illinois,incorrect,-0.0006202477535062201,-0.0037133803125470877,0.0041841738370728505,14.630208333333334,45.0,100.0,55.0,,
2164,4hop3__322354_466199_695123_72134,4,3,2,4,3,"1,2",A,3,WIZE >> licensed to broadcast to,1340 AM,Springfield,incorrect,-1.9692405476234854e-05,-9.846202738117427e-05,0.00021552161948716806,21.35,45.0,100.0,55.0,0.1,10.0
2164,4hop3__322354_466199_695123_72134,4,3,2,4,3,"1,2",B,2,"Randolph County, Virginia >> located in the administrative territorial entity","Randolph County, Virginia",Illinois,incorrect,-0.031135949492306737,-0.15567807853221893,0.08253788060675334,13.384375,40.0,100.0,60.0,1.0,100.0
2011,4hop3__220945_88460_30152_20999,4,3,2,4,3,"1,2",A,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottomans.,the Portuguese,incorrect,-0.1744173633711398,-0.6326202154159546,0.2434651445256037,8.58125,40.0,100.0,60.0,,
2011,4hop3__220945_88460_30152_20999,4,3,2,4,3,"1,2",B,2,what natural boundary lies between thailand and Laos,The Bay of Bengal.,Myanmar,incorrect,-0.0738163545727275,-0.15408533811569214,0.2542187644861805,8.740625,40.0,100.0,60.0,,
1404,3hop2__72083_92991_76291,3,1,2,3,1,2,A,1,who gained control of congress in the midterm elections in 1946,Republicans,Republicans,correct,-0.0002547178009990603,-0.0002547178009990603,0.002475219313055277,8.40625,40.0,100.0,60.0,1.0,100.0
1404,3hop2__72083_92991_76291,3,1,2,3,1,2,B,2,who determines the rules of the us house and us senate,The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,The Senate,correct,-0.039077345163715194,-0.3210277557373047,0.09485506540031707,14.6875,40.0,100.0,60.0,1.0,100.0
2045,4hop2__71753_158985_70784_61381,4,1,2,3,1,2,A,1,what region of the world is israel located,Middle East.,"Middle East,",correct,-0.18638599225899574,-0.5359724164009094,0.26606501667023014,5.411458333333333,40.0,100.0,60.0,0.1,10.0
2045,4hop2__71753_158985_70784_61381,4,1,2,3,1,2,B,2,Where is the most growth taking place in desalination for agricultural use?,Singapore,Persian Gulf,incorrect,-0.532805323600769,-0.532805323600769,0.8846407532691956,0.5,40.0,100.0,60.0,1.0,100.0
2407,3hop2__79512_16214_84681,3,2,1,3,2,1,A,2,Who first imported slaves to New York?,Dutch,the Dutch,correct,-0.038449402898095286,-0.07689749449491501,0.13306902988733782,8.5859375,40.0,100.0,60.0,0.9,90.0
2407,3hop2__79512_16214_84681,3,2,1,3,2,1,B,1,where do they film lord of the rings,New Zealand,New Zealand,correct,0.0,0.0,4.697322850688579e-07,18.421875,45.0,100.0,55.0,0.8,80.0
1861,4hop2__567956_14670_8987_8529,4,2,1,3,2,1,A,2,The Air Defense Artillery is a branch of what?,The Air Defense Artillery is a branch of the Army.,the Army,correct,-0.05633885101466518,-0.5578354597091675,0.12439330109265134,16.684895833333332,70.0,100.0,30.0,1.0,100.0
1861,4hop2__567956_14670_8987_8529,4,2,1,3,2,1,B,1,Normalization >> country,Slovakia,Czechoslovakia,incorrect,-0.08965385817767431,-0.26509085297584534,0.318082632496953,5.078125,40.0,100.0,60.0,1.0,100.0
2015,4hop3__405277_88460_30152_20999,4,3,2,4,3,"1,2",A,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottoman,the Portuguese,incorrect,-0.17852352061466567,-0.3496484160423279,0.359011846157955,4.8125,40.0,100.0,60.0,0.9,90.0
2015,4hop3__405277_88460_30152_20999,4,3,2,4,3,"1,2",B,2,what natural boundary lies between thailand and Laos,Radcliffe Line,Myanmar,incorrect,-0.005047279097650422,-0.015138261020183563,0.026180400660374897,11.192708333333334,40.0,100.0,60.0,1.0,100.0
1268,3hop2__304722_602987_63959,3,2,1,3,2,1,A,2,Joe Gallagher >> member of sports team,Manchester City F.C.,Birmingham City,needs_review,-0.03150095612734276,-0.1574481576681137,0.09660851084356423,12.26875,40.0,100.0,60.0,0.9,90.0
1268,3hop2__304722_602987_63959,3,2,1,3,2,1,B,1,1894–95 FA Cup >> winner,Birmingham City,Aston Villa,incorrect,-0.006150419276915879,-0.017889341339468956,0.03581171122399004,8.411458333333334,40.0,100.0,60.0,0.9,90.0
2003,4hop3__310746_88460_30152_20999,4,3,2,4,3,"1,2",A,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottoman,the Portuguese,incorrect,-0.04882813063522917,-0.14304596185684204,0.1403923979960382,6.114583333333333,40.0,100.0,60.0,0.1,10.0
2003,4hop3__310746_88460_30152_20999,4,3,2,4,3,"1,2",B,2,what natural boundary lies between thailand and Laos,Si Phan Don (4000 Islands),Myanmar,incorrect,-0.008889362606445482,-0.0974830761551857,0.028528879560397336,17.275568181818183,50.0,100.0,50.0,1.0,100.0
1407,3hop2__92991_38242_76291,3,2,1,3,2,1,A,2,"Prior to the 1954 elections, who had majorities in Congress?",Democrats,Republicans,incorrect,-0.5642852187156677,-0.5642852187156677,1.250927209854126,0.96875,40.0,100.0,60.0,0.9,90.0
1407,3hop2__92991_38242_76291,3,2,1,3,2,1,B,1,who determines the rules of the us house and us senate,The Speaker of the House and the Majority and Minority Leaders determine the rules of the,The Senate,incorrect,-0.04385818478925074,-0.6964555978775024,0.05150745971230762,15.1494140625,40.0,100.0,60.0,1.0,100.0
1638,3hop2__326964_36852_7713,3,2,1,3,2,1,A,2,What city did the Qing lose in 1853?,Nanjing,Nanjing,correct,-0.00015461833875699918,-0.0004637358069885522,0.00142961815007366,15.885416666666666,60.0,100.0,40.0,1.0,100.0
1638,3hop2__326964_36852_7713,3,2,1,3,2,1,B,1,Yaxing Coach >> headquarters location,"Yangzhou, Jiangsu, China",Yangzhou,correct,-0.0016957073335756182,-0.011399729177355766,0.00951075876032397,12.578125,45.0,100.0,55.0,1.0,100.0
2322,3hop2__30956_65244_84681,3,2,1,3,2,1,A,2,who controlled new york before it became an english colony,Dutch.,the Dutch,correct,-0.25443535049468363,-0.48083749413490295,0.4690481811909801,4.802083333333333,45.0,100.0,55.0,0.9,90.0
2322,3hop2__30956_65244_84681,3,2,1,3,2,1,B,1,Where was Kerry's yacht built?,New Zealand,New Zealand,correct,-8.344643980251476e-07,-1.5497195136049413e-06,1.2413595868565608e-05,14.96875,40.0,100.0,60.0,0.8,80.0
1460,3hop2__132957_52222_40768,3,1,2,3,1,2,A,1,Who made Acura Legend?,Honda,Honda,correct,0.0,0.0,1.2652972145588137e-06,17.125,50.0,100.0,50.0,,
1460,3hop2__132957_52222_40768,3,1,2,3,1,2,B,2,what is the biggest automobile company in the world,Toyota,Toyota,correct,-0.006625233683735132,-0.006625233683735132,0.04560760408639908,5.5,50.0,100.0,50.0,,
