dataset_idx,question_id,n_hops,repair_hop_idx,repair_hop,candidate_referenced_parents_benchmark_correct,candidate_question_matches_gold_path,repair_question_original,hop_gold,hop_pred,question_matches_gold_path,referenced_parents_benchmark_correct,n_descendants_regenerated,descendants_regenerated,mean_logprob,min_logprob,entropy,margin,verbal_confidence,u_mean_logprob,u_mean_logprob_z,u_min_logprob,u_min_logprob_z,u_entropy,u_entropy_z,u_margin,u_margin_z,u_verbal,u_verbal_z,baseline_final_pred,baseline_final_label,baseline_final_gold_logprob,repaired_final_gold_logprob,repair_gain,repaired_final_pred,repaired_final_label,repaired_final_f1
2015,4hop3__405277_88460_30152_20999,4,2,3,True,True,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottoman,True,True,1,4,-0.17852352061466567,-0.3496484160423279,0.359011846157955,4.8125,40.0,0.17852352061466567,1.5758752655565433,0.3496484160423279,0.6978689483118258,0.359011846157955,1.448808738366994,-4.8125,1.5732611937104337,-40.0,0.5773502691896257,Ottoman,incorrect,-4.5084638595581055,-4.800192356109619,-0.29172849655151367,The Portuguese,incorrect,0.33333333333333337
2049,4hop1__151650_5274_458768_33637,4,2,3,True,True,Universal Music Group >> headquarters location,Santa Monica,"Costa Mesa, California",True,True,1,4,-0.0012759215196410877,-0.006377819459885359,0.007959182723077104,16.04375,40.0,0.0012759215196410877,-0.6200164827602165,0.006377819459885359,-0.5389166972445218,0.007959182723077104,-0.6617620517952414,-16.04375,-0.786032006678999,-40.0,1.260252075625209,1,incorrect,-40.296875,-30.78125,9.515625,2,incorrect,0.0
1783,3hop1__516535_834494_34053,3,1,2,True,True,Pima County >> contains administrative territorial entity,Tucson,Pima County,True,True,1,3,-0.0003916924609536447,-0.0011692361440509558,0.0031161451361185755,11.833333333333334,40.0,0.0003916924609536447,-1.3760734777628427,0.0011692361440509558,-0.9120863592291033,0.0031161451361185755,-1.3917643595192066,-11.833333333333334,0.6489393822940938,-40.0,0.7071067811865466,24.17 in (614 mm),incorrect,-4.242190361022949,-4.570312976837158,-0.328122615814209,24.17 in (614 mm),incorrect,0.0
1737,3hop1__241085_42197_18397,3,0,1,True,True,Yekaterina Fesenko >> country of citizenship,USSR,Russia,True,True,2,"2,3",-0.6040193438529968,-0.6040193438529968,0.6910325288772583,0.1875,50.0,0.6040193438529968,0.43616605134054354,0.6040193438529968,0.4361660133545721,0.6910325288772583,-0.18458394506818987,-0.1875,0.7382754635505581,-50.0,-0.707106781186548,China,incorrect,-9.272918701171875,-9.316363334655762,-0.04344463348388672,China,incorrect,0.0
2098,4hop1__105688_17130_70784_61381,4,1,2,True,True,Where is Israel located?,Middle East,Israel is located in Western Asia.,True,True,2,"3,4",-0.045771667500818784,-0.23837828636169434,0.11543761247186726,10.294642857142858,40.0,0.045771667500818784,-0.10134842863888162,0.23837828636169434,1.3677687406561385,0.11543761247186726,-0.35960042092349664,-10.294642857142858,-0.4462060038328448,-40.0,0.9045340337332908,Israel,incorrect,-9.728675842285156,-7.848360538482666,1.8803153038024902,1992,incorrect,0.0
1268,3hop2__304722_602987_63959,3,0,1,True,True,1894–95 FA Cup >> winner,Aston Villa,Birmingham City,True,True,1,3,-0.006150419276915879,-0.017889341339468956,0.03581171122399004,8.411458333333334,40.0,0.006150419276915879,-0.5125856876589119,0.017889341339468956,-0.6101975367616157,0.03581171122399004,-0.3020090802137442,-8.411458333333334,1.3512663190711092,-40.0,0.0,2015,incorrect,-9.564736366271973,-11.07819938659668,-1.513463020324707,2015,incorrect,0.0
2003,4hop3__310746_88460_30152_20999,4,1,2,True,True,what natural boundary lies between thailand and Laos,Myanmar,Si Phan Don (4000 Islands),True,True,1,4,-0.008889362606445482,-0.0974830761551857,0.028528879560397336,17.275568181818183,50.0,0.008889362606445482,-0.5062815764094715,0.0974830761551857,-0.20913835511276535,0.028528879560397336,-0.5021804114246804,-17.275568181818183,-1.1234866550635219,-50.0,-0.9113223768657671,Ottoman,incorrect,-4.131767749786377,-4.648781776428223,-0.5170140266418457,Myanmar,incorrect,0.0
2003,4hop3__310746_88460_30152_20999,4,2,3,True,True,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottoman,True,True,1,4,-0.04882813063522917,-0.14304596185684204,0.1403923979960382,6.114583333333333,40.0,0.04882813063522917,1.6586635773889502,0.14304596185684204,0.3781545741914616,0.1403923979960382,1.6388346780388183,-6.114583333333333,1.363203939594064,-40.0,-0.39056673294247163,Ottoman,incorrect,-4.131767749786377,-4.596423625946045,-0.46465587615966797,Russia,incorrect,0.0
1832,4hop1__46196_497223_15840_36002,4,1,2,True,True,NFL >> platform,Nintendo Entertainment System,NFL,True,True,2,"3,4",-0.05394797772169113,-0.05394797772169113,0.2187594175338745,2.9375,40.0,0.05394797772169113,1.1235525502231216,0.05394797772169113,-0.4668301129683916,0.2187594175338745,1.6673362283589077,-2.9375,1.1004945187367037,-40.0,0.0,NFL,incorrect,-3.2300913333892822,-3.879936456680298,-0.6498451232910156,NES,incorrect,0.0
1382,3hop1__241001_568433_47686,3,0,1,True,True,Arna Selznick >> employer,Nelvana,John van Bruggen,True,True,2,"2,3",-0.0018375841900635237,-0.009187563322484493,0.010440822514402015,15.65625,40.0,0.0018375841900635237,-0.5603030319262977,0.009187563322484493,-0.5009583643647034,0.010440822514402015,-0.539759372346966,-15.65625,-1.3957700953143017,-40.0,0.0,Dancingmonkeys,incorrect,-8.479170799255371,-4.569658358377637e-06,8.479166229597013,Toronto Coach Terminal,correct,1.0
1407,3hop2__92991_38242_76291,3,0,1,True,True,who determines the rules of the us house and us senate,The Senate,The Speaker of the House and the Majority and Minority Leaders determine the rules of the,True,True,1,3,-0.04385818478925074,-0.6964555978775024,0.05150745971230762,15.1494140625,40.0,0.04385818478925074,-0.677808366734745,0.6964555978775024,0.9567963759128727,0.05150745971230762,-0.7604384941619046,-15.1494140625,-1.1731784307938682,-40.0,0.0,2014,incorrect,-6.733644008636475,-7.875132083892822,-1.1414880752563477,2014,incorrect,0.0
1407,3hop2__92991_38242_76291,3,1,2,True,True,"Prior to the 1954 elections, who had majorities in Congress?",Republicans,Democrats,True,True,1,3,-0.5642852187156677,-0.5642852187156677,1.250927209854126,0.96875,40.0,0.5642852187156677,1.4138143486780756,0.5642852187156677,0.42349178386939273,1.250927209854126,1.4128372657343076,-0.96875,1.2705038863464817,-40.0,0.0,2014,incorrect,-6.733644008636475,-4.475917816162109,2.2577261924743652,2015,needs_review,0.6666666666666666
2093,4hop1__105401_17130_70784_61381,4,1,2,True,True,Where is Israel located?,Middle East,Israel is located in Western Asia.,True,True,2,"3,4",-0.00689896874661449,-0.02802535519003868,0.035297690200374224,10.466517857142858,40.0,0.00689896874661449,-0.7747629295296009,0.02802535519003868,-0.8205996187874977,0.035297690200374224,-0.7648638422625297,-10.466517857142858,-0.570222059548629,-40.0,0.5773502691896257,1990,incorrect,-8.724245071411133,-7.589846134185791,1.1343989372253418,1916,incorrect,0.0
