dataset_idx,question_id,n_hops,repair_hop_idx,repair_hop,repair_question,hop_gold,hop_pred,mean_logprob,min_logprob,entropy,margin,n_descendants_regenerated,descendants_regenerated,baseline_final_pred,baseline_final_label,baseline_final_gold_logprob,repaired_final_gold_logprob,repair_gain,propagated_gain,repaired_final_pred,repaired_final_label,repaired_final_f1,frozen_final_gold_logprob,frozen_gain
1795,3hop1__516535_834494_34099,3,1,2,Pima County >> contains administrative territorial entity,Tucson,Pima County,-4.371005957182206e-07,-7.152555099310121e-07,7.502984696354058e-06,15.427083333333334,1,[3],4 years.,incorrect,-21.3203125,-20.054691314697266,1.2656211853027344,1.2656211853027344,4 years.,incorrect,0.0,-20.054691314697266,1.2656211853027344
1832,4hop1__46196_497223_15840_36002,4,1,2,The NFL >> platform,Nintendo Entertainment System,NFL,-0.0009161804337054491,-0.0009161804337054491,0.007705485448241234,7.09375,2,"[3, 4]",NES,incorrect,-3.9948511123657227,-3.8816404342651367,0.11321067810058594,0.11321067810058594,NES,incorrect,0.0,-3.8816404342651367,0.11321067810058594
1904,4hop1__436202_765799_282674_759393,4,1,2,Appleton >> capital of,Outagamie County,Appleton,-0.11590234935275134,-0.23180410265922546,0.2549491704985485,8.1796875,2,"[3, 4]",Appleton,incorrect,-10.656837463378906,-16.359378814697266,-5.702541351318359,-5.702541351318359,Outagamie County,incorrect,0.0,-15.11719036102295,-4.460352897644043
2000,4hop3__426860_88460_30152_20999,4,0,1,That Dam >> country,Laos,Thailand,-4.8754245597137924e-05,-9.703165414975956e-05,0.0005557224908443459,12.171875,2,"[2, 4]",Thailand,incorrect,-5.740927219390869,-6.421206474304199,-0.6802792549133301,-0.6802792549133301,Somali Muslim Ajuran Empire,incorrect,0.0,-5.93452787399292,-0.19360065460205078
2000,4hop3__426860_88460_30152_20999,4,1,2,what natural boundary lies between thailand and Laos,Myanmar,Plym-Tamar boundary.,-0.27275754390677776,-1.0633875131607056,0.4528073338433387,5.834821428571429,1,[4],Thailand,incorrect,-5.740927219390869,-5.26275110244751,0.4781761169433594,0.4781761169433594,Myanmar,incorrect,0.0,-5.535226821899414,0.20570039749145508
2000,4hop3__426860_88460_30152_20999,4,2,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Somali Muslim Ajuran Empire,-0.028709368543303526,-0.17214475572109222,0.11541433279642395,11.377604166666666,1,[4],Thailand,incorrect,-5.740927219390869,-5.455386638641357,0.2855405807495117,0.2855405807495117,Thailand,incorrect,0.0,-5.4668869972229,0.27404022216796875
2003,4hop3__310746_88460_30152_20999,4,1,2,what natural boundary lies between thailand and Laos,Myanmar,Si Phan Don (4000 Islands),-0.008889362606445482,-0.0974830761551857,0.028528879560397336,17.275568181818183,1,[4],Myanmar,incorrect,-4.783890724182129,-4.648781776428223,0.13510894775390625,0.13510894775390625,Myanmar,incorrect,0.0,-4.90324068069458,-0.11934995651245117
2003,4hop3__310746_88460_30152_20999,4,2,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottoman,-0.04882813063522917,-0.14304596185684204,0.1403923979960382,6.114583333333333,1,[4],Myanmar,incorrect,-4.783890724182129,-4.596423625946045,0.18746709823608398,0.18746709823608398,Russia,incorrect,0.0,-4.7995476722717285,-0.01565694808959961
2011,4hop3__220945_88460_30152_20999,4,1,2,what natural boundary lies between thailand and Laos,Myanmar,The Bay of Bengal.,-0.0738163545727275,-0.15408533811569214,0.2542187644861805,8.740625,1,[4],Ottomans.,incorrect,-4.676738739013672,-5.729979991912842,-1.05324125289917,-1.05324125289917,Ottomans.,incorrect,0.0,-5.2642693519592285,-0.5875306129455566
2011,4hop3__220945_88460_30152_20999,4,2,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottomans.,-0.1744173633711398,-0.6326202154159546,0.2434651445256037,8.58125,1,[4],Ottomans.,incorrect,-4.676738739013672,-4.150303363800049,0.526435375213623,0.526435375213623,The Portuguese were expelled from The Bay of Bengal by the Somali Muslim Ajuran Empire,incorrect,0.11764705882352941,-4.044882297515869,0.6318564414978027
2015,4hop3__405277_88460_30152_20999,4,1,2,what natural boundary lies between thailand and Laos,Myanmar,Radcliffe Line,-0.005047279097650422,-0.015138261020183563,0.026180400660374897,11.192708333333334,1,[4],Ottoman,incorrect,-4.774086952209473,-5.606382369995117,-0.8322954177856445,-0.8322954177856445,Myanmar,incorrect,0.0,-5.729678630828857,-0.9555916786193848
2015,4hop3__405277_88460_30152_20999,4,2,3,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottoman,-0.17852352061466567,-0.3496484160423279,0.359011846157955,4.8125,1,[4],Ottoman,incorrect,-4.774086952209473,-4.800192356109619,-0.026105403900146484,-0.026105403900146484,The Portuguese,incorrect,0.33333333333333337,-4.501143455505371,0.27294349670410156
2049,4hop1__151650_5274_458768_33637,4,2,3,Universal Music Group. >> headquarters location,Santa Monica,"Costa Mesa, California",-0.02033799290644538,-0.10168853402137756,0.06537916034445795,15.509375,1,[4],2,incorrect,-31.15625,-30.734375,0.421875,0.421875,2,incorrect,0.0,-30.734375,0.421875
2061,4hop1__342858_131850_33952_34053,4,2,3,What is the second largest city in Arizona ?,Tucson,Yuma,-0.00027648909599520266,-0.0005529781919904053,0.002349990530603918,13.203125,1,[4],24.17 in,incorrect,-4.4453125,-4.4140625,0.03125,0.03125,24.17 in,incorrect,0.0,-4.4140625,0.03125
2098,4hop1__105688_17130_70784_61381,4,1,2,Where is Israel located?,Middle East,Israel is located in Western Asia.,-0.045771667500818784,-0.23837828636169434,0.11543761247186726,10.294642857142858,2,"[3, 4]",Israel,incorrect,-2.2190351486206055,-7.848360538482666,-5.6293253898620605,-5.6293253898620605,1992,incorrect,0.0,-1.9768518209457397,0.24218332767486572
2098,4hop1__105688_17130_70784_61381,4,2,3,what region lies immediately to the north of Middle East and the persian gulf,Kingdom of Saudi Arabia,Northwest,-0.3784980084747076,-0.711417555809021,0.7780162766575813,1.859375,1,[4],Israel,incorrect,-2.2190351486206055,-0.009159344248473644,2.209875804372132,2.209875804372132,1932,correct,1.0,-0.009159344248473644,2.209875804372132
2141,4hop1__129682_59747_211319_557671,4,2,3,Atlanta >> located in the administrative territorial entity,Montmorency County,Atlanta,-0.004083866253495216,-0.004083866253495216,0.026543188840150833,5.5,1,[4],"Montmorency County, Michigan.",incorrect,-7.411593914031982,-8.986479759216309,-1.5748858451843262,-1.5748858451843262,Montmorency County,needs_review,0.4,-8.986479759216309,-1.5748858451843262
2188,4hop1__61681_53706_795904_580996,4,1,2,someone who went to California during the gold rush,Samuel Brannan,California,-0.00010740180005086586,-0.00010740180005086586,0.0011208323994651437,9.21875,2,"[3, 4]","San Francisco, California",incorrect,-10.686266899108887,-12.27353286743164,-1.587265968322754,-1.587265968322754,"Sacramento, California",incorrect,0.0,-10.806466102600098,-0.12019920349121094
2188,4hop1__61681_53706_795904_580996,4,2,3,Samuel Brannan >> work location,Sacramento,"San Francisco, California",-0.001998347200553141,-0.007976818829774857,0.01165286041367608,11.65234375,1,[4],"San Francisco, California",incorrect,-10.686266899108887,-12.273439407348633,-1.587172508239746,-1.587172508239746,Sacramento,incorrect,0.0,-12.273439407348633,-1.587172508239746
2349,3hop1__145427_106426_157788,3,1,2,Which was the country for The Longest Night in Shanghai ?,Japan,China,-0.016897283494472504,-0.016897283494472504,0.08690297603607178,4.09375,1,[3],Shanghai,incorrect,-11.559507369995117,-10.845458030700684,0.7140493392944336,0.7140493392944336,Shanghai,incorrect,0.0,-10.845458030700684,0.7140493392944336
