dataset_idx,question_id,n_hops,main_question,gold_final,baseline_final_pred,baseline_final_label,baseline_final_f1,baseline_final_matched_gold,baseline_final_gold_logprob,first_clear_error_hop,n_clear_wrong_hops,final_prompt_tokens
1211,3hop1__498954_160713_77246,3,What is the meaning of the word also known as the majority religion in the area of British India that became India when the country where Mandeer is located was created in arabic dictionary?,the country of India,Hindu,incorrect,0.0,the country of India,-13.882108688354492,2.0,2,3680
2061,4hop1__342858_131850_33952_34053,4,What was the wettest year in the second largest city in the state where Yuma's Library District is located?,1905,24.17 in (614 mm),incorrect,0.0,1905,-3.953125238418579,3.0,2,2677
2157,4hop1__151903_5274_458768_33677,4,When was the most recent BFC award given to the city where the only record music group larger than the recording label for The Lost Trident Sessions is located?,2013,2013,correct,1.0,2013,0.0,,0,2326
2015,4hop3__405277_88460_30152_20999,4,How were the people from whom the new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and Ban Hinlat's country?,The dynasty regrouped and defeated the Portuguese,Ottoman,incorrect,0.0,The dynasty regrouped and defeated the Portuguese,-4.5084638595581055,2.0,3,2902
2049,4hop1__151650_5274_458768_33637,4,How many ethnic minorities were looked at differently in the city where the headquarters of the only group larger than Desde El Principio's record label is located?,two,1,incorrect,0.0,two,-40.296875,3.0,2,2474
2076,4hop1__342858_131850_159767_81096,4,Who won the 1993 Indy Car Race in the largest city of the state where the library district and the city of Yuma share the same county?,Mario Andretti,Phoenix,incorrect,0.0,Mario Andretti,-3.6917128562927246,4.0,1,2266
1783,3hop1__516535_834494_34053,3,What was the wettest year in the city that shares the same county as the ghost town Allen?,1905,24.17 in (614 mm),incorrect,0.0,1905,-4.242190361022949,2.0,2,2634
1737,3hop1__241085_42197_18397,3,Where did the arguer that Yekaterina Fesenko's country of citizenship had become an imperialist power declare he would intervene in the Korean conflict?,the Politburo,China,incorrect,0.0,the Politburo,-9.272918701171875,1.0,2,3906
2098,4hop1__105688_17130_70784_61381,4,The country that Eyal Golan is from lies within a certain region. When was the area that lies immediately to the north of that region established?,1932,Israel,incorrect,0.0,1932,-9.728675842285156,2.0,3,3183
1268,3hop2__304722_602987_63959,3,When was the last time the sports team that employs Joe Gallagher beat the winner of the 1894-95 FA Cup?,1 December 2010,2015,incorrect,0.0,1 December 2010,-9.564736366271973,1.0,2,3692
1293,3hop1__756602_831637_91775,3,What does seal stand for in the U.S. military branch that operates a list of destroyer classes as well as the USS Jason?,"Sea, Air, and Land","Sea, Air, and Land",correct,1.0,"Sea, Air, and Land",0.0,1.0,1,2077
2003,4hop3__310746_88460_30152_20999,4,There exists a country A that forms a boundary between Thailand and the country containing the Khong District. How were the people that the Ajuran Empire declared independence from by minting coins expelled from country A?,The dynasty regrouped and defeated the Portuguese,Ottoman,incorrect,0.0,The dynasty regrouped and defeated the Portuguese,-4.131767749786377,2.0,3,2816
1832,4hop1__46196_497223_15840_36002,4,"What were the Genesis's advantages over the platform with a three letter abbreviation, that had a video game named after the league in charge of the Super Bowl halftime show?",built on 16-bit architectures and offered improved graphics and sound,NFL,incorrect,0.0,built on 16-bit architectures and offered improved graphics and sound,-3.2300913333892822,2.0,2,3759
1382,3hop1__241001_568433_47686,3,Where do Greyhound buses leave from in the city where Arna Selznick's employer is headquartered?,Toronto Coach Terminal,Dancingmonkeys,incorrect,0.0,Toronto Coach Terminal,-8.479170799255371,1.0,3,2487
1407,3hop2__92991_38242_76291,3,"When did the party that had majorities in Congress prior to the 1954 elections, take control of the organization that determines the rules of the US house and US senate?",January 2015,2014,incorrect,0.0,January 2015,-6.733644008636475,1.0,3,2836
1209,3hop1__604797_443779_52195,3,who is the president of newly declared independent country which is the country of the country of Alabio –Timor Leste Commission of Truth and Friendship?,Francisco Guterres,Francisco Guterres,correct,1.0,Francisco Guterres,-2.0622621377697214e-05,1.0,2,3369
1638,3hop2__326964_36852_7713,3,How long was the city the Qing lost in 1853 the capital of the province where Yaxing Coach is headquartered?,about 400 years,400 years.,correct,0.8,about 400 years,-6.182292461395264,,0,2894
2093,4hop1__105401_17130_70784_61381,4,When was the region immediately north of the region of the country in Strangers No More and the Persian Gulf established?,1932,1990,incorrect,0.0,1932,-8.724245071411133,2.0,3,3158
1206,3hop1__507961_160713_77246,3,What is the meaning of the word that is also a majority religion in India when the country where Banna is located was created in the Arabic dictionary?,the country of India,Hindu,incorrect,0.0,the country of India,-12.074797630310059,3.0,1,4023
2322,3hop2__30956_65244_84681,3,"When did the people who controlled New York before it became an English colony, come to the country where John Kerry's yacht was built?",13 December 1642,New Zealand,incorrect,0.0,13 December 1642,-4.409584999084473,,0,3823
1460,3hop2__132957_52222_40768,3,"When did the maker of Acura Legend, the biggest automobile company in the world, and Nissan open US assembly plants?",1981,1981,correct,1.0,1981,0.0,,0,2719
2047,4hop1__178366_229349_66759_75165,4,There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907","1,335,907",correct,1.0,"1,335,907",0.0,1.0,2,2852
